,Empty Values
address,25610
category,51063
city,44726
country_code,51564
country,44690
company_name,32
phone_number,32137
phone_country_code,112821
raw_address,44016
raw_phone,27948
region_code,44876
region,44871
text,3514
zip_code,81279
domain_name,2
